"","date","price"
"178",2018-08-08,1134.1378
"179",2018-08-09,1136.1386
"180",2018-08-10,1141.5594
"181",2018-08-11,1141.5222
"182",2018-08-12,1141.485
"183",2018-08-13,1145.1912
"184",2018-08-14,1155.5576
"185",2018-08-15,1155.5199
"186",2018-08-16,1159.9166
"187",2018-08-17,1167.4919
"188",2018-08-18,1167.4538
"189",2018-08-19,1167.4538
"190",2018-08-20,1171.5936
"191",2018-08-21,1167.032
"192",2018-08-22,1160.7052
"193",2018-08-23,1166.6399
"194",2018-08-24,1168.9797
"195",2018-08-25,1168.9416
"196",2018-08-26,1168.9035
"197",2018-08-27,1167.7867
"198",2018-08-28,1171.0032
"199",2018-08-29,1190.3441
"200",2018-08-30,1199.4365
"201",2018-08-31,1207.2381
"202",2018-09-01,1207.2381
"203",2018-09-02,1207.2381
"204",2018-09-03,1212.2708
"205",2018-09-04,1222.4122
"206",2018-09-05,1215.632
"207",2018-09-06,1204.7734
"208",2018-09-07,1206.821
"209",2018-09-08,1206.7817
"210",2018-09-09,1206.7423
"211",2018-09-10,1213.2751
"212",2018-09-11,1226.69
"213",2018-09-12,1213.6153
"214",2018-09-13,1206.7128
"215",2018-09-14,1210.1509
"216",2018-09-15,1210.1115
"217",2018-09-16,1210.0721
"218",2018-09-17,1210.0326
"219",2018-09-18,1209.9932
"220",2018-09-19,1209.9538
"221",2018-09-20,1199.5814
"222",2018-09-21,1185.3813
"223",2018-09-22,1185.3426
"224",2018-09-23,1185.304
"225",2018-09-24,1183.4392
"226",2018-09-25,1188.9135
"227",2018-09-26,1172.8725
"228",2018-09-27,1172.6227
"229",2018-09-28,1168.5373
"230",2018-09-29,1168.4992
"231",2018-09-30,1168.4611
"232",2018-10-01,1165.1442
"233",2018-10-02,1167.138
"234",2018-10-03,1171.7647
"235",2018-10-04,1179.8285
"236",2018-10-05,1175.7779
"237",2018-10-06,1175.7395
"238",2018-10-07,1175.7012
"239",2018-10-08,1188.1524
"240",2018-10-09,1192.0244
"241",2018-10-10,1152.3703
"242",2018-10-11,1130.0355
"243",2018-10-12,1138.1052
"244",2018-10-13,1138.0681
"245",2018-10-14,1138.031
"246",2018-10-15,1137.9939
"247",2018-10-16,1143.7582
"248",2018-10-17,1143.0588
"249",2018-10-18,1133.1862
"250",2018-10-19,1134.8661
"251",2018-10-20,1134.8291
"252",2018-10-21,1134.7921
"253",2018-10-22,1137.2585
"254",2018-10-23,1138.9551
"255",2018-10-24,1104.8546
"256",2018-10-25,1128.469
"257",2018-10-26,1111.7535
"258",2018-10-27,1111.7172
"259",2018-10-28,1111.681
"260",2018-10-29,1100.0084
"261",2018-10-30,1125.2368
"262",2018-10-31,1147.3843
"263",2018-11-01,1147.3469
"264",2018-11-02,1147.3095
"265",2018-11-03,1147.2721
"266",2018-11-04,1147.2346
"267",2018-11-05,1131.5298
"268",2018-11-06,1133.7288
"269",2018-11-07,1151.529
"270",2018-11-08,1148.3303
"271",2018-11-09,1145.2303
"272",2018-11-10,1145.193
"273",2018-11-11,1145.1557
"274",2018-11-12,1128.869
"275",2018-11-13,1132.6475
"276",2018-11-14,1122.4618
"277",2018-11-15,1121.677
"278",2018-11-16,1113.9961
"279",2018-11-17,1113.9598
"280",2018-11-18,1113.9386
"281",2018-11-19,1090.8325
"282",2018-11-20,1074.7503
"283",2018-11-21,1076.5214
"284",2018-11-22,1073.57
"285",2018-11-23,1076.2114
"286",2018-11-24,1076.1764
"287",2018-11-25,1076.1413
"288",2018-11-26,1096.299
"289",2018-11-27,1098.6313
"290",2018-11-28,1117.7394
"291",2018-11-29,1111.116
"292",2018-11-30,1120.6363
"293",2018-12-01,1120.5998
"294",2018-12-02,1120.5633
"295",2018-12-03,1126.6471
"296",2018-12-04,1094.0929
"297",2018-12-05,1098.4694
"298",2018-12-06,1107.3775
"299",2018-12-07,1075.1878
"300",2018-12-08,1075.1528
"301",2018-12-09,1075.1178
"302",2018-12-10,1082.3242
"303",2018-12-11,1087.2304
"304",2018-12-12,1091.7897
"305",2018-12-13,1094.0222
"306",2018-12-14,1082.3568
"307",2018-12-15,1082.3216
"308",2018-12-16,1082.2863
"309",2018-12-17,1056.4598
"310",2018-12-18,1062.1141
"311",2018-12-19,1045.0233
"312",2018-12-20,1028.518
"313",2018-12-21,1011.7504
"314",2018-12-22,1011.7174
"315",2018-12-23,1011.6844
"316",2018-12-24,986.4944
"317",2018-12-25,986.4623
"318",2018-12-26,1035.5855
"319",2018-12-27,1046.5598
"320",2018-12-28,1045.6389
"321",2018-12-29,1045.6048
"322",2018-12-30,1045.5708
"323",2018-12-31,1045.5367
"324",2019-01-01,1045.5026
"325",2019-01-02,1059.1737
"326",2019-01-03,1035.5381
"327",2019-01-04,1055.6733
"328",2019-01-05,1055.6389
"329",2019-01-06,1055.6045
"330",2019-01-07,1052.1251
"331",2019-01-08,1062.0665
"332",2019-01-09,1064.1509
"333",2019-01-10,1067.479
"334",2019-01-11,1063.4077
"335",2019-01-12,1063.373
"336",2019-01-13,1063.3384
"337",2019-01-14,1057.065
"338",2019-01-15,1066.9528
"339",2019-01-16,1067.4476
"340",2019-01-17,1073.5625
"341",2019-01-18,1084.9121
"342",2019-01-19,1084.8768
"343",2019-01-20,1084.8414
"344",2019-01-21,1088.5074
"345",2019-01-22,1072.7321
"346",2019-01-23,1074.2261
"347",2019-01-24,1076.2019
"348",2019-01-25,1078.1247
"349",2019-01-26,1078.0895
"350",2019-01-27,1078.0544
"351",2019-01-28,1075.9548
"352",2019-01-29,1070.6548
"353",2019-01-30,1083.7609
"354",2019-01-31,1079.5657
"355",2019-02-01,1076.02
"356",2019-02-02,1075.9849
"357",2019-02-03,1075.9498
"358",2019-02-04,1081.5628
"359",2019-02-05,1084.9749
"360",2019-02-06,1085.2232
"361",2019-02-07,1075.6675
"362",2019-02-08,1079.9838
